"Id","Nombre por defecto","Nombre Español (🇪🇸)","Nombre English (🇬🇧)","Nombre Française (🇫🇷)","Nombre Deutsch (🇩🇪)","Nombre Italiano (🇮🇹)","Nombre Português (🇵🇹)","Nombre Netherlands (🇳🇱)","Nombre Catalán (🇪)","Nombre Chino (🇨)"
"dcd11f12-db09-40ff-846f-4f7e4b93be56","Mantequilla","","","","","","","","",""
"a34ab2ed-f188-488d-9638-999a7922c305","Mantequilla y mermelada","","","","","","","","",""
"89efec2f-63ef-4502-b7d8-f65970e1418b","Mantequilla y mermelada","Mantequilla y mermelada","Butter and jam","","Butter und Marmelade","","","","Mantega i melmelada",""
"a9854ecb-6cd1-4b13-b0f0-a22e03100793","Mermelada","Mermelada","Jam","","Marmelade","","","","Melmelada",""
"6f6c5faf-cf71-4d7b-b9da-97d0454792cc","Naranja","Naranja","Orange","","Orange","","","","Taronja",""
"b1059c19-efb5-471c-9a2a-9ede3b32bbaf","Nata","","","","","","","","",""
"66b7dce7-0773-4b30-8847-80d85e2d567f","Nata","","","","","","","","",""
"1bf75d00-37ae-4111-b26a-c8873e941f1f","Nata","","","","","","","","",""
"3cf60834-0994-49c4-9543-528475027193","Normal","","","","","","","","",""
"d1509dfe-a277-4ea8-b4aa-76985dc7e61b","Nutella","Nutella","Nutella","","Nutella","","","","Nutella",""
"15520cc3-8c72-49f7-9cbc-1e43d358cc97","Opción 1","","","","","","","","",""
"f303d301-fb06-4a9e-ac70-b654af7baf03","Pan","","","","","","","","",""
"ae2167e5-ecda-44ab-ac51-d9ca10eecb0e","Pan","Pan","Bread","","Brot","","","","Pa",""
"3e5b577a-ddcc-4ab7-bcad-f78d39f6fb6d","Panel","Panel","Panel","","Panel","","","","Panell",""
"44ba544a-9e67-469d-b236-3a6d18ee4306","Pan mallorquín con Camaiot y butifarra Blanca","Pan mallorquín con Camaiot y butifarra Blanca","Mallorcan bread with Camaiot and White sausage","","Mallorquinisches Brot mit Camaiot und Weißwurst","","","","Pa mallorquí amb Camaiot i botifarra Blanca",""
"f06a0305-a440-4ec5-9216-a24cd1769600","Pan mallorquín con Serrano, lomo, chorizo, salchichón","Pan mallorquín con Serrano, lomo, chorizo, salchichón","Mallorcan bread with Serrano, loin, chorizo, salchichón","","Mallorquinisches Brot mit Serrano, Lende, Chorizo, Salchichón","","","","Pa mallorquí amb Serrano, llom, xoriço, llonganissa",""
"2f16c35e-b319-47a0-bd7d-869ea84558fe","Pan sin gluten","Pan sin gluten","gluten free bread","","glutenfreies Brot","","","","Pa sense gluten",""
"f8273bf7-fdee-487a-8917-1b2887b6bbef","Pistacho","","","","","","","","",""
"c9305470-c555-4527-a3d1-f4d46693b32a","Redbull","","","","","","","","",""
"0688ddc5-47f0-4b65-9cc0-c12b155918ba","Redbull","","","","","","","","",""
"a4b1fa4e-5359-48b0-a3e8-ece04e9f754e","Redbull","","","","","","","","",""
"ad74d3d2-72d8-473b-b6e4-8a3c037c014e","Redbull","","","","","","","","",""
"4dbebdb4-bb90-4afd-84ae-0f01036fa89b","Redbull","","","","","","","","",""
"2e063f7c-3595-42dd-850f-3fc506dfde3d","Redbull","","","","","","","","",""
"d69be8e1-c5d6-4eff-9cb6-49f0f383c1bb","Reposado","Reposado","Restful","","Erholsam","","","","Reposat",""
"ea63db25-c6ef-4188-a398-74c48bfc5ae3","Salmón ahumado","Salmón ahumado","Smoked salmon","","Geräucherter Lachs","","","","Salmó fumat",""
"94a2e211-266a-4c62-a79a-3735d1200734","Salmón ahumado, aguacate, tomate","Salmón ahumado, aguacate, tomate","Smoked salmon, avocado, tomato","","Geräucherter Lachs, Avocado, Tomate","","","","Salmó fumat, alvocat, tomàquet",""
"ee538d81-0217-4792-9d0b-e498ab0b64c3","Serrano","Serrano","Serrano","","Serrano","","","","Serrano",""
"fda83a6b-d142-4edd-bec0-0eb403cacc0f","Serrano","Serrano","Serrano","","Serrano","","","","Serrano",""
"40e1ec98-2aee-4e89-bbf7-2a415ae0d133","Serrano","Serrano","Serrano","","Serrano","","","","Serrano",""
"dcdee5aa-bcb6-4475-92d9-9308854c20a7","Serrano","","","","","","","","",""
"0fe0398d-1243-4285-be45-005e79c163ad","Serrano","","","","","","","","",""
"314b7a9b-867e-4e0f-808b-f581d2eae256","Serrano","Serrano","Serrano","","Serrano","","","","Serrano",""
"668f7305-7604-4d6f-a4bb-5e99433466f0","Serrano","","","","","","","","",""
"868f3c6d-b334-4134-8acf-df0d75e0c382","Serrano","","","","","","","","",""
"969535db-989f-4745-8e1e-1d287253e905","Sin gluten ","","","","","","","","",""
"f311d87c-54e5-493d-8841-546beb180557","Sin gluten ","","","","","","","","",""
"2864a34f-72fb-4d4d-b0b0-c23a61c930f9","Sin gluten ","","","","","","","","",""
"8ef38c40-d3fa-4d0d-b09f-6538e2eb50a9","Sin gluten ","","","","","","","","",""
"4bd23d00-0132-49b5-978c-d3111be191ee","Sin gluten ","","","","","","","","",""
"1da96a07-5c25-4f77-a568-670847b4ddd2","Sin gluten ","","","","","","","","",""
"407a916d-9a3f-4b9d-8a19-f17e4852c3fa","Sin gluten ","","","","","","","","",""
"8dcbfbaa-f343-4a78-9e58-6543edd60993","Sin gluten ","","","","","","","","",""
"2c43ed01-2fb8-4be9-887e-a76c3f60df94","Sin gluten ","","","","","","","","",""
"dc9947d0-5b6c-40d5-8f8f-787f9f3a0b34","Sin gluten ","","","","","","","","",""
"d87a9a57-601e-48fc-b083-c62504d90d37","Sin gluten ","","","","","","","","",""
"e8cd2ade-2355-4bf3-acc3-cbfa4dfea377","Sin gluten ","","","","","","","","",""
"041eefa2-c9bb-4546-b327-d3a7ce2406de","Sin gluten ","","","","","","","","",""
"c3f8264d-20ab-44f5-a22f-dd50ccd0c420","Sin gluten ","","","","","","","","",""
"53bf8dcf-000d-48c0-b59e-a82dadce3a77","Sin gluten ","","","","","","","","",""
"dd75a470-7ad3-4b8b-b377-4a3811a30688","Sirope de arce","Sirope de arce","maple syrup","","Ahornsirup","","","","Xarop d'auró",""
"48553d27-6049-4de9-9a61-ccac2a1856ef","Sobrasada, queso Brie y miel","Sobrasada, queso Brie y miel","Sobrasada, Brie cheese and honey","","Sobrasada, Brie-Käse und Honig","","","","Sobrassada, formatge Brie i mel",""
"c1545d38-7d20-4ca0-8afa-590ea5da9cb9","Soja","Soja","Soy","","Soja","","","","Soja",""
"4ed8b47c-7a20-404f-9c9b-9f512631aafb","Soja","Soja","Soy","","Soja","","","","Soja",""
"4e24d150-557e-4a01-8099-842eacafb5fd","Soja","Soja","Soy","","Soja","","","","Soja",""
"cadf35f5-53b9-47c0-986c-3df2610f43f5","Soja","Soja","Soy","","Soja","","","","Soja",""
"29f6d969-2540-4010-b354-62319a2abf8d","Soja","Soja","Soy","","Soja","","","","Soja",""
"3613070f-e9ea-4613-99bd-23e32aed3b04","Soja","Soja","Soy","","Soja","","","","Soja",""
"6edacc3e-e87c-44f9-af8b-777f7782cf01","Soja","Soja","Soy","","Soja","","","","Soja",""
"14592e11-02f9-4326-b543-ab073d1a36ea","Soja","","","","","","","","",""
"ddd59e4f-fb89-4541-b78c-cdb8ee992d9e","Soja","","","","","","","","",""
"056ef347-11f8-4b27-a3a7-b6f0376c455c","Soja","","","","","","","","",""
"0838edf5-bbd6-45fa-b479-bd105317c446","Soja","","","","","","","","",""
"608916ea-d593-401f-8752-dfec977bb258","Soja","","","","","","","","",""
"d7b8c6d5-6fe5-48fa-80c2-eea88ec2c9f3","Soja","","","","","","","","",""
"4daf291d-1e4c-4fd9-aa38-54c6ffbf1897","Soja","","","","","","","","",""
"8db297cc-75f2-42e5-adb5-7a0d0532298d","Soja","","","","","","","","",""
"b19e8e8d-7bdd-4f67-8afd-0be47af8ddb3","Tabla de Embutidos","Tabla de Embutidos","Charcuterie Board","","Schneidebrett","","","","Taula d'embotits",""
"45b489d5-7395-4586-b6e1-c426a133734c","Tarta de queso","","","","","","","","",""
"701f08f8-353a-4ea2-b0b1-5cf4021efe5d","Té","Té","Tea","","Tee","","","","Te",""
"7e3d59dc-edc3-44bf-9f44-43390bcd06a0","Tomate rallado y aceite","Tomate rallado y aceite","Grated tomato and oil","","Geriebene Tomate und Öl","","","","Tomàquet ratllat i oli",""
"fb94ac73-19f8-49fd-bb78-806ee434097a","Totopos","Totopos","Totopes","","Totopes","","","","Totopos",""
"e25fb935-4ef6-458b-92dd-e58385747a92","Vainilla","","","","","","","","",""
"18f9f200-2140-4b92-9901-0e90251d0c87","Vainilla","Vainilla","Vanilla","","Vanille","","","","Vainilla",""
"0c3d64cf-ed85-4004-b4f0-97d33b56a243","Veggi","","","","","","","","",""
"5f7906fd-7149-43fd-ac70-4371d5fc819d","Zumo de Naranja","Zumo de Naranja","Orange juice","","Orangensaft","","","","Suc de Taronja",""
"ab2ea2da-b27c-406a-bb47-9a4b706e45cd","aguacate","","","","","","","","",""
"e6103df8-0f6e-4eaf-b949-da53d208037c","Aguacate","","","","","","","","",""
"dff0542e-ad39-4920-99f4-ad058de8d74f","Aguacate","","","","","","","","",""
"480ca6f5-7214-4272-92b6-75fc20aef6e9","Aguacate + pollo rebozado","","","","","","","","",""
"d788d09f-1409-42af-9dc8-17e04d3cd1fc","Anchoa","Anchoa","Anchovy","","Sardelle","","","","Anxova",""
"58018754-ccfb-4398-bdb7-621e930aa888","Anchoa","","","","","","","","",""
"c82e6c4a-891a-4b91-b1c9-09c7a39456ad","Avellanas","","","","","","","","",""
